sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
656,0.145 884 680,"SysTick","ISR Exit","Returns to Idle",3647117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3626,3,03 E8 02 
657,0.146 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3670814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3629,5,02 0F 91 B9 01 
658,0.146 849 280,"SysTick","xTaskIncrementTick","",3671232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3634,5,DB 01 00 A2 03 
659,0.146 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3671757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3639,7,1C 03 DB 01 00 8D 04 
660,0.146 884 680,"SysTick","ISR Exit","Returns to Idle",3672117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3646,3,03 E8 02 
661,0.147 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3695814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3649,5,02 0F 91 B9 01 
662,0.147 849 280,"SysTick","xTaskIncrementTick","",3696232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3654,5,DB 01 00 A2 03 
663,0.147 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3696757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3659,7,1C 03 DB 01 00 8D 04 
664,0.147 884 680,"SysTick","ISR Exit","Returns to Idle",3697117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3666,3,03 E8 02 
665,0.148 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3720814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3669,5,02 0F 91 B9 01 
666,0.148 849 280,"SysTick","xTaskIncrementTick","",3721232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3674,5,DB 01 00 A2 03 
667,0.148 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3721757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3679,7,1C 03 DB 01 00 8D 04 
668,0.148 884 680,"SysTick","ISR Exit","Returns to Idle",3722117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3686,3,03 E8 02 
669,0.149 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3745814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3689,5,02 0F 91 B9 01 
670,0.149 849 280,"SysTick","xTaskIncrementTick","",3746232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3694,5,DB 01 00 A2 03 
671,0.149 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3746757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3699,7,1C 03 DB 01 00 8D 04 
672,0.149 884 680,"SysTick","ISR Exit","Returns to Idle",3747117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3706,3,03 E8 02 
673,0.150 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3770814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3709,5,02 0F 91 B9 01 
674,0.150 849 280,"SysTick","xTaskIncrementTick","",3771232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3714,5,DB 01 00 A2 03 
675,0.150 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3771757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3719,7,1C 03 DB 01 00 8D 04 
676,0.150 884 680,"SysTick","ISR Exit","Returns to Idle",3772117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3726,3,03 E8 02 
677,0.151 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3795814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3729,5,02 0F 91 B9 01 
678,0.151 849 280,"SysTick","xTaskIncrementTick","",3796232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3734,5,DB 01 00 A2 03 
679,0.151 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3796757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3739,7,1C 03 DB 01 00 8D 04 
